,subj,trial,choice,roi,rt,upleftval,uprightval,downleftval,downrightval,fixdur,fixnum,revfixnum
4415,28,19,0,4,1259.1,250,280,212,49,74.03,3,2
4513,28,19,0,2,1259.1,250,280,212,49,180.9,4,1
4610,28,20,1,1,1150.9,268,231,159,193,15.93,1,2
4710,28,20,1,2,1150.9,268,231,159,193,4.9,2,1
4810,28,21,0,1,2183.1,271,207,5,187,200.55,1,4
4910,28,21,0,2,2183.1,271,207,5,187,547.1,2,3
5010,28,21,0,4,2183.1,271,207,5,187,184,3,2
5112,28,21,0,2,2183.1,271,207,5,187,324,4,1
5513,28,23,0,1,2525,235,200,50,155,168.55,1,5
5612,28,23,0,2,2525,235,200,50,155,545.88,2,4
5715,28,23,0,4,2525,235,200,50,155,239.1,3,3
5813,28,23,0,2,2525,235,200,50,155,188.1,4,2
594,28,23,0,1,2525,235,200,50,155,191.9,5,1
8713,28,31,0,2,1844.8,273,290,179,117,301.48,1,6
8812,28,31,0,4,1844.8,273,290,179,117,134.08,2,5
8914,28,31,0,1,1844.8,273,290,179,117,178.19,3,4
9013,28,31,0,2,1844.8,273,290,179,117,208.9,4,3
9115,28,31,0,4,1844.8,273,290,179,117,274,5,2
9212,28,31,0,2,1844.8,273,290,179,117,137.8,6,1
9811,28,33,1,2,1730.7,241,281,220,22,271.91,1,4
9912,28,33,1,1,1730.7,241,281,220,22,293.8,2,3
10012,28,33,1,3,1730.7,241,281,220,22,181.2,3,2
10113,28,33,1,1,1730.7,241,281,220,22,217.5,4,1
10413,28,35,1,2,3465.6,250,273,241,102,278.5,1,8
10515,28,35,1,1,3465.6,250,273,241,102,192.38,2,7
10617,28,35,1,2,3465.6,250,273,241,102,444,3,6
10710,28,35,1,4,3465.6,250,273,241,102,539.3,4,5
10811,28,35,1,2,3465.6,250,273,241,102,333.1,5,4
1099,28,35,1,1,3465.6,250,273,241,102,220,6,3
11014,28,35,1,3,3465.6,250,273,241,102,295.1,7,2
11113,28,35,1,1,3465.6,250,273,241,102,554.9,8,1
1263,28,39,0,1,1618.5,250,220,20,202,394.91,1,4
1273,28,39,0,2,1618.5,250,220,20,202,406.12,2,3
1283,28,39,0,4,1618.5,250,220,20,202,238,3,2
1292,28,39,0,2,1618.5,250,220,20,202,195.7,4,1
1354,28,41,0,1,2055.7,267,200,30,154,347.3,1,4
1364,28,41,0,2,2055.7,267,200,30,154,414,2,3
1372,28,41,0,4,2055.7,267,200,30,154,182.1,3,2
1383,28,41,0,2,2055.7,267,200,30,154,362.4,4,1
1784,28,52,1,2,2837.6,246,289,188,116,28.61,1,9
17913,28,52,1,1,2837.6,246,289,188,116,317.86,2,8
1803,28,52,1,3,2837.6,246,289,188,116,147.73,3,7
1815,28,52,1,4,2837.6,246,289,188,116,261.9,4,6
1829,28,52,1,2,2837.6,246,289,188,116,245.1,5,5
18312,28,52,1,1,2837.6,246,289,188,116,252,6,4
1844,28,52,1,3,2837.6,246,289,188,116,219.2,7,3
1853,28,52,1,1,2837.6,246,289,188,116,461.9,8,2
18611,28,52,1,3,2837.6,246,289,188,116,107.1,9,1
1983,28,56,1,1,2901.2,205,150,38,145,202.08,1,10
1996,28,56,1,3,2901.2,205,150,38,145,122.96,2,9
2005,28,56,1,1,2901.2,205,150,38,145,126,3,8
2015,28,56,1,3,2901.2,205,150,38,145,144.85,4,7
2026,28,56,1,2,2901.2,205,150,38,145,419.01,5,6
2033,28,56,1,4,2901.2,205,150,38,145,196.2,6,5
20413,28,56,1,2,2901.2,205,150,38,145,466,7,4
2056,28,56,1,1,2901.2,205,150,38,145,442,8,3
2065,28,56,1,3,2901.2,205,150,38,145,271.1,9,2
2075,28,56,1,1,2901.2,205,150,38,145,97.3,10,1
2084,28,57,1,1,2647.3,230,213,41,193,83.67,1,6
2093,28,57,1,2,2647.3,230,213,41,193,405.09,2,5
2103,28,57,1,3,2647.3,230,213,41,193,247.9,3,4
2113,28,57,1,4,2647.3,230,213,41,193,236.1,4,3
2123,28,57,1,2,2647.3,230,213,41,193,593.9,5,2
2136,28,57,1,4,2647.3,230,213,41,193,311.3,6,1
2242,28,60,1,2,4766.8,279,200,31,197,114.27,1,14
2252,28,60,1,4,4766.8,279,200,31,197,6.05,2,13
