"","val_A_scaled","val_B_scaled","prob_A","prob_B","subj_idx","drift","rho","noise","nDT","thetaGaze_A","thetaGaze_B","RT_PN","fixDur_A_sum","fixDur_sum"
"467",0.8,0.2,0.5,0.9,7,3.192590482,0.101371660470792,0.669133087366667,0.438101859,0.58911676868,0.617342891266667,-0.958101859,200,520
"468",1,0.2,0.5,0.9,7,3.192590482,0.101371660470792,0.669133087366667,0.438101859,0.58911676868,0.617342891266667,1.048101859,489,610
"469",0.8,0.2,0.4,0.6,7,3.192590482,0.101371660470792,0.669133087366667,0.438101859,0.58911676868,0.617342891266667,-1.080101859,102,642
"470",1,0.4,0.7,0.8,7,3.192590482,0.101371660470792,0.669133087366667,0.438101859,0.58911676868,0.617342891266667,-2.553101859,1399,2115
"471",0.8,0.4,0.9,1,7,3.192590482,0.101371660470792,0.669133087366667,0.438101859,0.58911676868,0.617342891266667,3.781101859,1529,3343
"472",0.6,0.2,0.6,0.7,7,3.192590482,0.101371660470792,0.669133087366667,0.438101859,0.58911676868,0.617342891266667,3.631101859,1424,3193
"473",1,0.4,0.5,0.7,7,3.192590482,0.101371660470792,0.669133087366667,0.438101859,0.58911676868,0.617342891266667,-2.257101859,717,1819
"474",0.6,0.2,0.7,1,7,3.192590482,0.101371660470792,0.669133087366667,0.438101859,0.58911676868,0.617342891266667,-1.252101859,222,814
"475",1,0.2,0.5,1,7,3.192590482,0.101371660470792,0.669133087366667,0.438101859,0.58911676868,0.617342891266667,-1.864101859,704,1426
"476",1,0.2,0.4,0.5,7,3.192590482,0.101371660470792,0.669133087366667,0.438101859,0.58911676868,0.617342891266667,-3.284101859,1919,2846
"477",0.8,0.4,0.8,0.9,7,3.192590482,0.101371660470792,0.669133087366667,0.438101859,0.58911676868,0.617342891266667,-2.220101859,996,1782
"478",1,0.2,0.5,0.6,7,3.192590482,0.101371660470792,0.669133087366667,0.438101859,0.58911676868,0.617342891266667,-1.671101859,601,1233
"479",0.6,0.2,0.8,1,7,3.192590482,0.101371660470792,0.669133087366667,0.438101859,0.58911676868,0.617342891266667,-1.760101859,490,1322
"480",1,0.6,0.8,0.9,7,3.192590482,0.101371660470792,0.669133087366667,0.438101859,0.58911676868,0.617342891266667,1.304101859,432,866
"481",1,0.4,0.8,0.9,7,3.192590482,0.101371660470792,0.669133087366667,0.438101859,0.58911676868,0.617342891266667,-0.927101859,396,489
"482",0.8,0.2,0.6,0.8,7,3.192590482,0.101371660470792,0.669133087366667,0.438101859,0.58911676868,0.617342891266667,-4.743101859,2080,4305
"483",0.8,0.4,0.7,0.9,7,3.192590482,0.101371660470792,0.669133087366667,0.438101859,0.58911676868,0.617342891266667,-1.079101859,276,641
"484",1,0.2,0.8,1,7,3.192590482,0.101371660470792,0.669133087366667,0.438101859,0.58911676868,0.617342891266667,-1.219101859,313,781
"485",1,0.4,0.9,1,7,3.192590482,0.101371660470792,0.669133087366667,0.438101859,0.58911676868,0.617342891266667,1.420101859,380,982
"486",0.8,0.2,0.8,0.9,7,3.192590482,0.101371660470792,0.669133087366667,0.438101859,0.58911676868,0.617342891266667,1.072101859,235,634
"487",1,0.2,0.4,0.6,7,3.192590482,0.101371660470792,0.669133087366667,0.438101859,0.58911676868,0.617342891266667,-0.954101859,433,516
"488",1,0.4,0.8,1,7,3.192590482,0.101371660470792,0.669133087366667,0.438101859,0.58911676868,0.617342891266667,-1.144101859,401,706
"489",0.6,0.2,0.6,0.8,7,3.192590482,0.101371660470792,0.669133087366667,0.438101859,0.58911676868,0.617342891266667,-0.735101859,0,297
"490",1,0.2,0.6,0.7,7,3.192590482,0.101371660470792,0.669133087366667,0.438101859,0.58911676868,0.617342891266667,1.427101859,563,989
"491",1,0.2,0.7,0.8,7,3.192590482,0.101371660470792,0.669133087366667,0.438101859,0.58911676868,0.617342891266667,-2.462101859,976,2024
"492",1,0.4,0.6,1,7,3.192590482,0.101371660470792,0.669133087366667,0.438101859,0.58911676868,0.617342891266667,1.229101859,368,791
"493",0.8,0.2,0.4,0.5,7,3.192590482,0.101371660470792,0.669133087366667,0.438101859,0.58911676868,0.617342891266667,1.318101859,555,880
"494",1,0.2,0.4,0.7,7,3.192590482,0.101371660470792,0.669133087366667,0.438101859,0.58911676868,0.617342891266667,1.894101859,1107,1456
"495",1,0.4,0.5,0.6,7,3.192590482,0.101371660470792,0.669133087366667,0.438101859,0.58911676868,0.617342891266667,4.175101859,2487,3737
