"","val_A1","val_B1","val_A2","val_B2","subj_idx","drift","noise","nDT","bias","thetaGaze_A","thetaGaze_B","RT_PN","fixDur_A_sum","fixDur_sum"
"115",33.0417,80,257,114,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,3.31439806076333,811.660000000001,3051
"116",217,157,106.112,163,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.18239806076333,673.63,919
"117",145.8271,190,238,189,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.62239806076333,385.88,1359
"118",175.737,141,94,128,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,4.05139806076333,1865.54,3788
"119",298,194,142.9261,223,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.62139806076333,902.440000000001,2358
"120",262,168,38.8462,148,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.89439806076333,898.79,1631
"121",72,155,219.9473,103,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,4.09139806076333,2113.21,3828
"122",55,226.5215,295,90,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.68639806076333,311.13,1423
"123",59.5619,119,170,120,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,8.84839806076333,5515.32,8585
"124",241,188.2743,100,163,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.15339806076333,408.05,890
"125",36,143,246.6045,117,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,3.41739806076333,1181.02,3154
"126",64.0041,136,280,162,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.48339806076333,800.09,2220
"127",31,100.9961,295,146,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,5.97139806076333,2443.3,5708
"128",50.3627,139,197,90,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.46239806076333,1100.48,2199
"129",76,130,245,160.2041,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.24939806076333,333.75,986
"130",158,100,39,80.6942,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,4.41339806076333,2278.02,4150
"131",182,222,265.1475,226,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.39039806076333,573.06,1127
"132",59.2377,111,242,163,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.81939806076333,1374.2,2556
"133",300,210,131.6394,189,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.06139806076333,373.91,798
"134",260,139.9692,92,182,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.84639806076333,506,1583
"135",192,135.6034,73,111,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,3.29439806076333,1954.6,3031
"136",87,160,191,118,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,5.78539806076333,2846.44,5522
"137",221.4987,110,61,166,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.69939806076333,503.99,1436
"138",233.3288,143,55,96,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.79439806076333,938.78,1531
"139",218.228,157,90,146,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,2.32639806076333,1941.52,2063
"140",59,99,180.8331,128,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,5.81339806076333,2880.84,5550
"141",294,226,94,144.4379,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.65039806076333,635.57,1387
"142",295.5577,227,172,218,1,0.007139324651,0.315756252676667,0.263398060763333,0.4537972295,0.945424694566667,0.203027448323333,1.87639806076333,1554.1,1613
