"","val_A_scaled","val_B_scaled","prob_A","prob_B","subj_idx","drift","rho","noise","nDT","bias","thetaGaze_A","thetaGaze_B","RT_PN","fixDur_A_sum","fixDur_sum"
"1111",20,6,0.3,1,16,0.09456292447,0.912318549966667,0.4416905081,0.48123788366,0.367987050733333,0.459116991746667,0.52933976684,5.91623788366,2907,5435
"1112",90,81,0.9,1,16,0.09456292447,0.912318549966667,0.4416905081,0.48123788366,0.367987050733333,0.459116991746667,0.52933976684,2.37123788366,628,1890
"1113",90,72,0.8,1,16,0.09456292447,0.912318549966667,0.4416905081,0.48123788366,0.367987050733333,0.459116991746667,0.52933976684,1.58723788366,372,1106
"1114",80,24,0.3,1,16,0.09456292447,0.912318549966667,0.4416905081,0.48123788366,0.367987050733333,0.459116991746667,0.52933976684,-2.04423788366,967,1563
"1115",30,15,0.5,1,16,0.09456292447,0.912318549966667,0.4416905081,0.48123788366,0.367987050733333,0.459116991746667,0.52933976684,6.69423788366,2346,6213
"1116",100,70,0.7,1,16,0.09456292447,0.912318549966667,0.4416905081,0.48123788366,0.367987050733333,0.459116991746667,0.52933976684,-0.69123788366,0,210
"1117",40,12,0.3,1,16,0.09456292447,0.912318549966667,0.4416905081,0.48123788366,0.367987050733333,0.459116991746667,0.52933976684,-10.37023788366,2896,9889
"1118",10,7,0.7,1,16,0.09456292447,0.912318549966667,0.4416905081,0.48123788366,0.367987050733333,0.459116991746667,0.52933976684,-3.36923788366,970,2888
"1119",60,24,0.4,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-3.19480713053333,478,2521
"1120",40,20,0.5,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-4.31680713053333,583,3643
"1121",60,18,0.3,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-2.46880713053333,456,1795
"1122",80,32,0.4,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-2.44580713053333,306,1772
