"","val_A_scaled","val_B_scaled","prob_A","prob_B","subj_idx","drift","noise","nDT","bias","thetaGaze_A","thetaGaze_B","RT_PN","fixDur_A_sum","fixDur_sum"
"111",500,200,0.8,1,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,2.3464568169,919,1749
"112",400,100,0.4,0.5,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,1.6144568169,685,1017
"113",500,100,0.4,0.5,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-1.4034568169,405,806
"114",400,200,0.6,0.7,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-0.9134568169,126,316
"115",500,300,0.7,0.8,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-5.6664568169,1909,5069
"116",500,100,0.5,1,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,5.2564568169,1712,4659
"117",400,100,0.8,0.9,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,5.7734568169,2129,5176
"118",500,100,0.7,0.8,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,2.3574568169,1263,1760
"119",300,100,0.6,0.8,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,3.8444568169,1874,3247
"120",500,100,0.7,1,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,2.0664568169,782,1469
"121",500,100,0.6,1,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-1.0664568169,187,469
"122",500,200,0.7,1,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-7.7374568169,2333,7140
"123",500,200,0.6,1,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-2.7354568169,1160,2138
"124",400,100,0.6,1,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-3.2454568169,855,2648
"125",500,100,0.3,0.4,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-0.8134568169,56,216
"126",400,100,0.7,0.8,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,4.1094568169,1185,3512
"127",400,100,0.6,0.8,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-2.7084568169,1109,2111
"128",500,200,0.5,0.6,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-1.4184568169,402,821
"129",500,300,0.8,0.9,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,3.5204568169,1674,2923
"130",400,100,0.8,1,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,7.4464568169,1826,6849
"131",400,100,0.7,0.9,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-2.8474568169,1347,2250
"132",500,100,0.5,0.9,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-2.3854568169,710,1788
"133",500,100,0.8,0.9,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,2.7694568169,1272,2172
"134",500,100,0.6,0.9,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,1.4774568169,512,880
"135",500,100,0.6,0.7,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,4.5504568169,2104,3953
"136",400,100,0.6,0.9,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-1.2444568169,166,647
"137",300,100,0.9,1,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-2.6064568169,1276,2009
"138",500,200,0.6,0.8,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-2.8184568169,1325,2221
"139",500,100,0.4,0.9,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-0.7744568169,0,177
"140",500,100,0.3,0.5,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-1.2924568169,320,695
"141",500,200,0.7,0.8,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-1.1534568169,72.9999999999999,556
"142",400,200,0.8,1,2,0.00225843358980233,0.5753497485,0.5974568169,0.251508688466667,0.05545605523,0.68306371414,-0.9314568169,167,334
"143",500,200,0.6,0.7,3,0.00246462872450633,0.573255950966667,1.33019934656667,0.428158002733333,0.0585899492066667,0.8810916017,3.20919934656667,0,1879
"144",400,100,0.6,1,3,0.00246462872450633,0.573255950966667,1.33019934656667,0.428158002733333,0.0585899492066667,0.8810916017,3.86719934656667,1135,2537
"145",400,100,0.4,0.5,3,0.00246462872450633,0.573255950966667,1.33019934656667,0.428158002733333,0.0585899492066667,0.8810916017,2.59619934656667,760,1266
"146",400,100,0.5,0.9,3,0.00246462872450633,0.573255950966667,1.33019934656667,0.428158002733333,0.0585899492066667,0.8810916017,-6.04819934656667,2202,4718
"147",500,100,0.6,0.8,3,0.00246462872450633,0.573255950966667,1.33019934656667,0.428158002733333,0.0585899492066667,0.8810916017,2.48019934656667,656,1150
"148",400,100,0.8,1,3,0.00246462872450633,0.573255950966667,1.33019934656667,0.428158002733333,0.0585899492066667,0.8810916017,7.99519934656667,3068,6665
"149",500,300,0.7,0.8,3,0.00246462872450633,0.573255950966667,1.33019934656667,0.428158002733333,0.0585899492066667,0.8810916017,6.33819934656667,2725,5008
"150",500,100,0.6,0.7,3,0.00246462872450633,0.573255950966667,1.33019934656667,0.428158002733333,0.0585899492066667,0.8810916017,4.23719934656667,803,2907
"151",400,100,0.9,1,3,0.00246462872450633,0.573255950966667,1.33019934656667,0.428158002733333,0.0585899492066667,0.8810916017,2.61919934656667,652,1289
"152",500,100,0.7,0.9,3,0.00246462872450633,0.573255950966667,1.33019934656667,0.428158002733333,0.0585899492066667,0.8810916017,1.79219934656667,394,462
"153",500,200,0.6,1,3,0.00246462872450633,0.573255950966667,1.33019934656667,0.428158002733333,0.0585899492066667,0.8810916017,4.10119934656667,1241,2771
"154",500,100,0.8,0.9,3,0.00246462872450633,0.573255950966667,1.33019934656667,0.428158002733333,0.0585899492066667,0.8810916017,4.70519934656667,2026,3375
"155",500,100,0.5,0.6,3,0.00246462872450633,0.573255950966667,1.33019934656667,0.428158002733333,0.0585899492066667,0.8810916017,-2.52019934656667,421,1190
"156",400,100,0.7,0.8,3,0.00246462872450633,0.573255950966667,1.33019934656667,0.428158002733333,0.0585899492066667,0.8810916017,3.96219934656667,1027,2632
"157",500,100,0.8,1,3,0.00246462872450633,0.573255950966667,1.33019934656667,0.428158002733333,0.0585899492066667,0.8810916017,2.61019934656667,459,1280
"158",400,200,0.8,1,3,0.00246462872450633,0.573255950966667,1.33019934656667,0.428158002733333,0.0585899492066667,0.8810916017,6.05819934656667,2562,4728
"159",500,100,0.7,1,3,0.00246462872450633,0.573255950966667,1.33019934656667,0.428158002733333,0.0585899492066667,0.8810916017,6.35519934656667,2643,5025
"160",300,100,0.6,0.8,3,0.00246462872450633,0.573255950966667,1.33019934656667,0.428158002733333,0.0585899492066667,0.8810916017,2.95119934656667,653,1621
"161",400,100,0.7,0.9,3,0.00246462872450633,0.573255950966667,1.33019934656667,0.428158002733333,0.0585899492066667,0.8810916017,-6.98419934656667,3612,5654
"162",400,100,0.7,1,3,0.00246462872450633,0.573255950966667,1.33019934656667,0.428158002733333,0.0585899492066667,0.8810916017,-3.07019934656667,1250,1740
