"","val_A1","val_B1","val_A2","val_B2","subj_idx","drift","rho","noise","nDT","bias","thetaGaze_A","thetaGaze_B","RT_PN","fixDur_A_sum","fixDur_sum"
"2984",246,203.654,124,156,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,1.57963421413333,600.51,946
"2985",46.3955,124,214,105,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,-1.69463421413333,533.32,1061
"2986",33.0417,80,257,114,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,3.26763421413333,1043.24,2634
"2987",154,190,233,189.0146,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,1.94363421413333,520.09,1310
"2988",91,156,272,141.8237,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,1.51963421413333,308.5,886
"2989",268,163,90.4721,155,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,-1.80463421413333,968.9,1171
"2990",69,118,166.4624,104,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,1.64063421413333,300.76,1007
"2991",216,165,133.2518,181,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,3.28063421413333,1813.05,2647
"2992",197,139,50.3627,90,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,2.33563421413333,617,1702
"2993",136,171,266.422,227,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,-1.72963421413333,527.04,1096
"2994",191,118,87,160,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,-2.67363421413333,1102.54,2040
"2995",204,251,296,241.0683,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,2.58763421413333,1263.77,1954
"2996",268,134.4648,86,151,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,1.11463421413333,0,481
"2997",76,142,227.2887,135,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,-3.23663421413333,768.11,2603
"2998",160.1078,93,58,126,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,-1.32963421413333,228.84,696
"2999",244,155.1241,90,170,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,-1.55763421413333,304.19,924
"3000",182,226,265.1475,222,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,-2.01563421413333,429.08,1382
"3001",117.7073,181,298,179,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,-1.78563421413333,439.22,1152
"3002",130.4938,220,280,168,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,1.41063421413333,33.8900000000001,777
"3003",48,149,256,142.2412,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,2.31163421413333,666.39,1678
"3004",267,192,90,139.2965,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,-2.78063421413333,874.47,2147
"3005",240,176,39.4254,76,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,1.81963421413333,95.4999999999999,1186
"3006",32,107,243,132.4739,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,-1.52763421413333,567.77,894
"3007",272,204,41,79.997,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,1.30363421413333,341.01,670
"3008",35,73.0301,266,201,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,-4.21063421413333,2178.5,3577
"3009",291,197,74,135.1494,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,2.33263421413333,454.36,1699
"3010",263.4748,181,143,212,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,-0.952634214133333,155.62,319
"3011",104,183,252,163.2281,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,3.96763421413333,1060.3,3334
"3012",36,143,246.6045,117,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,-1.98863421413333,640,1355
