"","val_A_scaled","val_B_scaled","prob_A","prob_B","subj_idx","drift","rho","noise","nDT","thetaGaze_A","thetaGaze_B","RT_PN","fixDur_A_sum","fixDur_sum"
"45",500,200,0.9,1,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,-2.43347305763333,1192,1523
"46",400,100,0.6,0.9,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,6.10347305763333,2703,5193
"47",300,100,0.9,1,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,1.90547305763333,429,995
"48",400,100,0.7,0.8,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,2.41547305763333,738,1505
"49",500,100,0.6,0.7,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,3.18447305763333,878,2274
"50",400,100,0.4,0.5,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,3.69447305763333,2296,2784
"51",500,100,0.8,1,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,-2.82647305763333,1512,1916
"52",500,100,0.3,0.5,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,-1.91647305763333,411,1006
"53",400,200,0.6,0.7,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,-15.3944730576333,2524,14484
"54",500,200,0.8,0.9,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,3.09747305763333,971,2187
"55",500,100,0.5,0.9,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,-3.03347305763333,1054,2123
"56",500,200,0.8,1,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,2.70547305763333,1084,1795
"57",400,200,0.7,0.9,1,0.62256649653,0.20769891649109,0.506066942133333,0.910473057633333,0.90168112427,0.866285608866667,-7.07947305763333,2952,6169
